source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,hardness_mgL,nitrate_mgL,TDS_mgL,risk_percent
pond,1.766,23.216,7.291,0.586,2,17.209,Winter,7.197,12.894,5,56.42,3.138,242.82,14.153
community_tank,2.867,24.491,5.838,0.109,1,5.848,Winter,6.977,32.343,9,128.3,14.143,322.94,47.386
pond,2.547,31.431,5.303,0.403,1,34.324,Winter,6.491,19.749,2,86.09,1.84,157.55,20.496
pond,7.328,25.933,8.551,0.882,3,96.272,Summer,7.319,10.546,4,80.88,8.293,315.47,21.711
pond,8.271,23.71,9.045,0.608,10,21.041,Autumn,8.236,10.496,13,78.16,11.611,300.31,26.609
spring,28.995,21.699,7.762,0.69,7,34.132,Monsoon,8.136,56.949,15,149.31,6.089,396.55,92.464
spring,2.176,24.701,7.533,0.226,6,27.379,Monsoon,0.333,39.822,12,134.75,2.257,275.19,100.0
canal,10.263,27.236,3.793,0.923,12,155.821,Winter,7.876,2.394,5,63.33,13.346,281.29,33.957
open_catchment,16.997,25.41,7.89,0.623,3,319.335,Summer,7.525,14.162,6,53.88,6.533,114.15,75.392
pond,8.215,24.838,9.383,0.106,5,62.342,Summer,7.227,5.232,3,78.92,25.43,257.85,26.08
river,2.944,26.277,8.608,0.016,10,63.782,Autumn,7.502,3.114,34,87.88,5.392,144.75,69.148
open_catchment,3.046,26.183,8.527,0.016,6,8.27,Monsoon,7.162,39.925,21,38.86,7.184,140.75,85.042
canal,0.4,27.116,4.517,0.051,10,21.24,Autumn,6.217,1.258,29,64.28,7.289,184.35,79.428
piped_protected,3.645,27.196,5.944,0.912,2,77.267,Winter,6.142,0.387,9,142.4,5.337,322.75,27.712
open_catchment,13.649,24.734,6.783,0.358,3,48.016,Summer,7.66,8.902,7,36.7,9.621,91.3,12.34
open_catchment,0.487,24.584,5.933,0.298,4,53.326,Summer,6.94,10.751,21,53.45,5.341,200.12,33.868
rooftop_rainwater,2.476,25.002,5.26,0.417,8,6.134,Monsoon,7.409,1.587,6,5.0,0.586,10.0,2.441
shallow_well,12.25,26.681,7.629,0.41,11,4.165,Autumn,7.843,41.185,4,153.4,35.81,415.22,41.299
rooftop_rainwater,15.263,28.363,8.495,0.238,1,224.641,Winter,7.878,1.353,7,12.1,0.929,11.96,51.824
community_tank,6.076,23.989,4.905,0.092,9,27.711,Monsoon,9.306,17.906,2,174.44,6.387,370.53,45.875
spring,11.976,24.509,8.557,0.109,1,6.368,Winter,7.143,6.358,15,176.33,1.151,341.21,32.651
spring,4.909,22.56,7.335,0.599,12,28.436,Winter,7.686,4.271,6,175.38,1.193,268.48,5.223
shallow_well,1.743,20.514,9.435,0.397,3,7.943,Summer,7.842,3.319,11,122.17,16.966,350.39,13.277
deep_borehole,5.077,21.286,8.192,0.902,3,10.411,Summer,7.295,2.708,9,170.25,14.415,403.45,7.834
deep_borehole,8.674,21.989,7.195,0.464,9,15.456,Monsoon,8.003,10.507,9,191.13,1.718,348.23,16.933
canal,29.575,23.003,7.207,0.503,3,7.934,Summer,7.556,0.641,27,66.21,11.647,290.59,38.228
reservoir,0.712,26.38,7.003,0.928,3,1.449,Summer,8.807,20.604,1,58.79,9.531,185.48,18.733
shallow_well,7.08,21.786,9.728,0.502,2,68.145,Winter,7.395,3.722,10,150.73,20.486,313.67,14.285
open_catchment,3.989,25.053,7.918,0.502,4,18.052,Summer,7.928,7.972,4,45.16,4.742,81.37,11.048
deep_borehole,7.099,27.514,6.448,0.363,11,82.41,Autumn,7.925,1.171,2,155.16,2.725,317.71,8.12
pond,0.243,22.51,7.854,0.71,8,33.287,Monsoon,6.465,8.883,1,31.56,21.07,453.79,33.331
reservoir,3.755,23.524,7.699,0.392,6,5.517,Monsoon,6.752,13.792,18,57.78,2.592,42.7,31.965
river,17.141,21.04,6.366,0.588,1,31.17,Winter,7.712,0.709,6,57.53,13.296,292.68,18.227
open_catchment,8.073,22.142,5.77,0.447,5,130.807,Summer,7.379,28.387,13,63.49,5.633,224.17,51.716
community_tank,5.989,29.11,8.773,0.529,12,29.083,Winter,6.175,4.965,27,130.56,15.015,505.83,54.306
pond,3.362,26.515,6.606,0.827,11,15.759,Autumn,6.9,5.826,20,48.86,7.015,139.63,35.665
pond,3.539,31.449,6.522,0.414,10,7.882,Autumn,7.679,2.54,3,49.06,16.479,284.5,17.116
shallow_well,4.831,22.789,7.873,0.23,11,18.173,Autumn,5.943,30.136,11,228.45,15.803,526.6,49.291
reservoir,18.053,29.525,6.223,0.57,8,10.297,Monsoon,6.196,5.938,4,131.68,4.863,318.04,21.009
canal,34.177,22.814,7.343,0.938,1,20.057,Winter,6.529,4.945,1,51.51,4.776,129.78,8.602
community_tank,5.774,23.496,6.43,0.693,6,3.952,Monsoon,7.777,17.808,24,159.54,4.975,428.39,39.307
deep_borehole,4.998,33.167,3.131,0.308,11,9.776,Autumn,8.666,5.308,13,164.17,3.159,253.07,36.669
shallow_well,18.744,22.495,7.58,0.963,7,57.97,Monsoon,7.38,8.666,19,206.28,41.85,660.53,52.918
deep_borehole,5.567,29.76,7.393,0.343,5,37.039,Summer,7.232,111.399,4,251.77,2.641,353.91,100.0
shallow_well,8.03,24.904,7.531,0.983,4,23.108,Summer,7.206,9.435,4,221.29,12.678,618.64,10.503
shallow_well,2.626,21.769,3.887,0.192,7,9.299,Monsoon,6.841,8.71,3,178.62,4.937,300.69,23.734
shallow_well,13.606,20.708,4.974,1.0,9,164.315,Monsoon,8.275,22.407,4,87.51,13.724,232.59,53.427
reservoir,7.593,25.316,8.744,0.076,4,279.59,Summer,7.161,0.61,2,88.57,4.432,91.61,64.86
canal,16.557,21.629,7.111,0.713,3,9.558,Summer,7.586,6.593,14,42.58,112.581,933.1,45.46
shallow_well,15.175,24.113,4.16,0.74,10,75.469,Autumn,7.209,16.88,36,172.6,1.031,270.79,65.584
piped_protected,2.421,19.286,7.127,0.68,4,10.076,Summer,6.755,34.095,24,63.04,0.612,248.24,66.105
river,12.575,26.063,4.645,0.778,5,54.442,Summer,6.859,14.648,2,91.27,6.819,203.39,20.677
deep_borehole,16.097,20.373,6.14,0.472,9,3.225,Monsoon,6.114,10.567,3,296.3,11.893,571.68,21.178
open_catchment,4.248,24.82,7.38,0.054,11,17.493,Autumn,6.146,8.657,5,49.78,19.393,182.58,45.485
rooftop_rainwater,1.895,20.849,7.383,0.358,1,38.735,Winter,9.69,9.125,3,13.44,3.163,110.17,40.446
community_tank,0.026,28.678,8.51,0.642,9,47.159,Monsoon,8.433,8.923,12,167.04,9.351,288.04,28.14
spring,5.995,18.67,7.698,0.646,9,11.821,Monsoon,6.652,39.207,14,161.31,0.565,247.36,58.486
canal,4.345,24.151,7.792,0.195,8,57.616,Monsoon,6.084,23.259,15,70.29,2.319,47.49,62.764
open_catchment,8.095,26.678,6.428,0.253,10,29.494,Autumn,8.172,5.489,9,39.21,5.843,121.92,25.489
pond,2.083,26.077,5.724,0.487,8,7.691,Monsoon,7.379,0.876,3,87.56,0.695,93.67,0.036
piped_protected,19.637,21.26,7.073,0.729,8,10.622,Monsoon,9.098,16.122,2,143.36,1.231,223.51,24.296
spring,2.981,19.781,8.53,0.853,4,164.46,Summer,8.143,18.278,7,192.35,1.421,297.63,40.791
rooftop_rainwater,2.567,27.344,8.239,0.086,7,38.473,Monsoon,6.387,20.704,22,12.1,0.982,32.85,68.486
open_catchment,6.553,24.629,6.698,0.926,2,20.863,Winter,6.734,3.712,4,47.86,1.496,40.24,10.647
spring,6.909,21.785,6.911,0.928,3,7.322,Summer,7.029,14.175,4,178.2,1.469,279.35,10.336
open_catchment,2.422,27.453,5.646,0.008,8,18.26,Monsoon,9.01,14.273,13,31.09,12.364,121.5,63.337
piped_protected,3.173,23.312,8.726,0.506,4,38.928,Summer,10.386,1.646,5,125.4,6.765,241.95,39.595
rooftop_rainwater,1.86,23.028,9.423,0.587,10,47.056,Autumn,8.588,20.807,21,27.63,1.158,39.42,46.369
pond,12.675,22.4,7.659,0.554,11,36.317,Autumn,5.373,12.553,21,56.58,20.893,320.61,70.664
shallow_well,14.701,22.722,4.546,0.616,6,16.407,Monsoon,7.107,9.637,24,227.8,4.705,405.38,37.566
deep_borehole,6.205,22.614,8.01,0.503,12,5.105,Winter,9.128,0.567,15,244.22,15.877,534.07,37.656
pond,12.521,25.985,9.482,0.294,11,29.201,Autumn,7.94,8.585,1,57.65,2.43,173.66,12.963
shallow_well,13.316,29.652,5.322,0.096,8,30.899,Monsoon,5.958,26.624,8,133.61,24.157,385.23,65.861
reservoir,1.488,20.81,8.269,0.208,8,13.574,Monsoon,8.742,6.515,7,98.28,4.733,162.48,24.632
reservoir,33.866,23.977,6.718,0.74,5,25.995,Summer,7.473,54.477,7,60.34,2.676,126.16,61.917
reservoir,17.205,24.508,8.866,0.241,11,35.405,Autumn,7.695,21.644,11,46.21,7.385,207.29,31.891
canal,2.288,26.394,5.263,0.83,7,44.358,Monsoon,8.188,24.296,14,92.26,9.156,299.75,43.363
river,2.06,27.965,6.349,0.403,1,72.179,Winter,7.753,12.419,8,114.47,8.121,275.86,24.023
community_tank,1.343,24.522,4.648,0.414,5,3.116,Summer,7.594,4.615,15,134.28,10.498,488.91,21.492
community_tank,1.489,23.089,7.509,0.868,3,50.591,Summer,7.301,7.209,3,91.74,77.551,1028.61,31.774
reservoir,13.79,26.734,7.83,0.214,4,6.638,Summer,7.257,13.47,11,88.86,0.967,185.57,21.934
deep_borehole,6.342,20.08,7.516,0.19,1,11.441,Winter,5.471,30.296,10,230.94,1.611,294.34,59.996
rooftop_rainwater,15.276,18.568,6.226,0.985,1,94.057,Winter,7.767,18.158,5,6.54,0.49,10.0,33.456
piped_protected,13.714,32.771,6.341,0.541,3,9.562,Summer,7.47,6.252,8,116.44,6.636,401.91,16.717
rooftop_rainwater,9.279,22.576,6.509,0.191,4,76.731,Summer,7.429,4.174,46,25.65,0.368,77.27,71.404
piped_protected,11.595,23.759,8.328,0.166,3,17.861,Summer,7.123,14.058,13,94.01,0.716,233.04,30.623
rooftop_rainwater,0.185,26.631,4.821,0.862,2,142.896,Winter,8.007,1.18,6,24.94,0.434,58.8,26.297
river,3.736,26.041,6.489,0.6,11,8.43,Autumn,6.721,6.571,13,88.12,5.667,222.16,22.832
canal,10.156,27.656,4.792,0.115,7,29.356,Monsoon,6.857,4.04,5,64.27,6.866,263.57,31.901
canal,0.094,27.813,6.386,0.887,10,2.272,Autumn,7.973,28.588,4,31.34,3.769,161.47,29.61
reservoir,0.335,20.673,6.979,0.444,9,35.15,Monsoon,6.565,14.951,7,57.27,2.299,10.0,24.231
shallow_well,19.098,28.808,10.151,0.989,11,6.405,Autumn,8.021,1.805,6,232.66,32.08,867.48,26.425
spring,11.521,26.532,5.998,0.282,3,24.935,Summer,5.741,10.02,31,188.63,0.525,339.7,62.117
canal,3.084,26.134,8.541,0.529,9,13.547,Monsoon,8.519,21.799,39,35.23,8.824,191.58,78.101
canal,11.646,26.268,4.434,0.173,8,192.836,Monsoon,6.841,1.628,4,46.12,14.693,323.81,61.823
pond,15.724,18.303,7.06,0.44,5,20.457,Summer,8.012,11.88,1,118.23,22.056,318.25,15.467
pond,3.664,24.37,7.056,0.177,11,168.792,Autumn,7.162,19.86,3,64.91,1.342,126.23,41.453
shallow_well,0.367,22.1,8.118,0.307,12,11.964,Winter,7.467,3.281,27,217.2,12.742,592.52,37.954
spring,26.998,21.668,6.181,0.27,6,1.514,Monsoon,7.471,36.964,2,174.37,4.045,326.25,30.715
deep_borehole,4.234,23.536,5.823,0.283,1,68.125,Winter,7.281,11.252,10,218.1,9.717,406.86,23.189
pond,1.126,27.476,3.88,0.97,6,9.711,Monsoon,7.588,13.994,1,66.56,7.824,192.67,7.764
deep_borehole,6.77,25.862,7.497,0.038,9,96.964,Monsoon,11.226,6.098,8,259.75,0.43,515.71,82.153
open_catchment,14.63,26.312,6.037,0.497,7,27.853,Monsoon,7.559,20.821,6,39.98,65.621,659.28,51.083
pond,2.506,23.661,8.538,0.629,9,58.126,Monsoon,8.584,12.781,13,27.45,2.691,34.12,33.33
river,3.14,26.129,7.768,0.661,5,77.734,Summer,5.503,34.952,8,57.15,9.394,308.57,75.546
spring,2.78,24.403,8.778,0.755,5,291.731,Summer,7.532,9.285,7,145.74,0.727,373.1,65.731
shallow_well,47.883,27.847,5.69,0.761,5,92.282,Summer,7.109,13.083,10,188.41,5.859,404.35,30.312
open_catchment,2.199,27.087,7.307,0.956,6,38.767,Monsoon,5.841,11.984,13,66.65,4.96,128.54,45.92
spring,8.569,25.479,7.285,0.756,4,75.835,Summer,8.994,12.075,11,188.99,1.468,502.01,34.232
reservoir,25.938,22.596,6.256,0.824,10,68.144,Autumn,7.316,17.541,22,82.09,7.848,315.17,47.802
river,1.589,25.819,8.846,0.532,9,52.753,Monsoon,6.335,1.552,2,65.28,11.274,195.33,25.113
spring,35.354,25.727,8.172,0.658,7,240.805,Monsoon,6.889,12.945,32,105.34,1.073,85.8,100.0
river,29.465,25.358,10.046,0.478,3,25.653,Summer,5.397,7.587,12,80.96,3.058,171.63,39.911
river,21.591,23.572,8.042,0.276,10,37.324,Autumn,7.395,8.383,3,89.59,10.564,269.93,9.735
deep_borehole,2.415,23.036,9.803,0.313,7,18.145,Monsoon,6.93,7.97,6,279.35,10.737,482.5,7.478
rooftop_rainwater,10.053,25.967,9.769,0.361,11,504.076,Autumn,7.102,1.643,4,21.7,0.975,91.21,100.0
reservoir,14.308,22.427,6.263,0.341,3,23.59,Summer,7.322,0.207,13,107.48,12.473,340.73,11.093
open_catchment,42.707,24.245,4.796,0.533,3,45.541,Summer,7.82,1.583,55,55.29,3.311,162.56,74.879
spring,1.99,26.761,9.53,0.248,4,12.554,Summer,8.679,8.004,21,179.72,7.724,407.92,38.005
piped_protected,14.525,26.324,8.041,0.517,12,21.331,Winter,8.877,6.638,20,160.59,4.471,239.88,39.93
open_catchment,4.137,21.528,7.782,0.916,2,88.049,Winter,7.106,2.138,6,37.94,4.116,196.03,25.1
rooftop_rainwater,1.931,25.896,6.327,0.406,8,28.258,Monsoon,8.61,18.006,6,14.13,1.197,30.19,22.732
open_catchment,5.471,31.096,7.596,0.223,12,103.646,Winter,7.691,17.558,3,68.67,0.205,182.59,29.798
canal,15.791,27.027,8.526,0.347,1,72.606,Winter,8.679,33.919,5,73.19,57.697,388.84,67.765
piped_protected,6.252,24.176,7.988,0.877,10,28.935,Autumn,7.816,26.398,10,107.18,4.276,337.65,27.177
rooftop_rainwater,7.712,28.922,6.079,0.942,1,13.435,Winter,8.184,24.641,19,11.25,0.969,48.24,49.255
deep_borehole,53.307,31.598,9.314,0.887,11,43.121,Autumn,8.451,22.668,1,244.4,6.843,354.78,32.343
spring,5.093,27.59,7.187,0.287,1,43.167,Winter,6.207,29.888,30,146.36,4.892,279.16,68.062
community_tank,9.556,19.805,8.019,0.388,4,32.601,Summer,8.011,10.111,3,193.4,14.148,442.55,11.351
rooftop_rainwater,4.545,26.85,8.261,0.975,1,43.253,Winter,9.262,1.14,3,37.97,0.69,10.0,22.74
shallow_well,4.989,29.046,10.198,0.324,3,16.1,Summer,7.119,11.707,6,98.44,23.441,308.72,12.994
spring,11.895,18.808,7.622,0.138,7,61.868,Monsoon,7.266,26.237,11,180.37,2.133,312.65,47.564
reservoir,27.788,27.811,6.922,0.282,3,48.877,Summer,4.738,1.397,9,83.33,0.706,195.29,44.102
rooftop_rainwater,7.817,24.391,9.871,0.964,12,15.157,Winter,8.28,24.034,3,29.72,0.116,73.19,20.965
canal,14.627,28.946,8.662,0.416,2,20.114,Winter,6.728,2.072,32,44.48,7.541,181.98,53.627
community_tank,0.934,24.787,7.459,0.934,10,30.397,Autumn,6.883,0.368,10,137.41,2.685,346.29,15.404
canal,2.372,26.03,7.365,0.104,6,20.29,Monsoon,7.492,16.959,18,68.95,8.777,182.04,43.353
community_tank,6.974,26.08,4.06,0.766,8,14.973,Monsoon,7.12,14.501,25,114.0,5.175,300.94,36.403
reservoir,0.202,27.142,6.869,0.093,4,90.012,Summer,8.045,29.466,6,80.18,9.54,299.02,58.899
shallow_well,2.915,26.341,4.896,0.197,12,77.768,Winter,5.254,15.217,3,138.07,5.473,348.91,41.558
spring,7.286,22.303,2.995,0.616,4,58.581,Summer,8.862,4.281,11,109.06,6.216,250.33,34.695
deep_borehole,0.151,24.211,6.106,0.434,11,10.191,Autumn,8.043,35.599,5,204.38,7.688,351.88,23.739
canal,3.073,24.98,4.928,0.667,2,202.408,Winter,6.164,32.626,5,49.31,6.943,94.13,81.75
canal,7.216,28.691,6.467,0.973,5,43.96,Summer,6.08,40.024,2,63.41,2.531,147.19,53.48
river,8.513,26.453,7.462,0.053,10,28.365,Autumn,7.282,18.78,18,78.8,113.09,884.17,69.628
community_tank,26.003,23.027,7.764,0.192,8,73.186,Monsoon,7.968,28.52,16,117.69,35.607,469.29,60.472
pond,10.366,22.241,6.836,0.64,1,28.605,Winter,8.85,3.861,11,119.15,7.88,352.75,32.906
spring,5.357,26.964,5.067,0.897,2,2.165,Winter,7.564,12.324,5,144.98,3.607,257.02,4.344
community_tank,26.643,23.576,6.818,0.798,1,41.677,Winter,7.446,4.362,35,144.81,6.844,357.37,41.659
river,15.366,27.26,5.401,0.466,4,94.871,Summer,7.419,5.552,5,62.56,6.779,125.47,16.182
open_catchment,2.232,24.833,9.105,0.745,7,46.851,Monsoon,7.693,24.599,10,32.2,35.742,401.88,41.819
community_tank,1.402,29.38,6.779,0.208,11,5.313,Autumn,6.015,17.354,2,59.92,0.934,173.49,34.436
deep_borehole,11.264,22.789,5.291,0.014,3,74.709,Summer,7.606,36.495,2,238.98,8.556,557.21,53.201
spring,8.207,29.316,5.423,0.57,8,42.035,Monsoon,7.521,21.349,32,163.46,2.612,314.47,54.688
river,15.591,27.95,7.01,0.813,6,44.981,Monsoon,6.235,4.805,13,23.81,11.203,208.92,57.577
open_catchment,13.425,23.679,7.087,0.433,2,7.292,Winter,9.346,29.964,1,43.04,40.886,420.72,56.407
piped_protected,9.814,22.365,6.71,0.569,9,18.6,Monsoon,5.921,1.11,11,108.38,1.658,79.3,28.889
river,42.964,30.783,8.491,0.422,9,10.924,Monsoon,7.188,1.192,1,73.87,0.656,157.75,9.17
piped_protected,7.627,22.292,5.558,0.514,7,78.634,Monsoon,7.18,4.467,14,75.24,1.831,87.92,26.625
spring,1.2,25.919,8.505,0.884,10,51.194,Autumn,6.498,22.89,1,152.88,0.646,343.92,17.503
canal,17.619,26.036,6.859,0.478,8,17.249,Monsoon,7.886,36.729,5,48.83,8.168,294.6,42.794
river,2.902,25.03,8.294,0.007,10,15.365,Autumn,8.323,14.523,5,51.64,25.669,447.76,53.16
shallow_well,15.019,27.344,6.062,0.8,1,23.529,Winter,8.24,36.884,9,184.53,8.991,566.76,54.852
piped_protected,31.49,22.208,8.167,0.618,6,42.721,Monsoon,9.149,12.837,3,150.14,11.498,391.88,23.725
deep_borehole,11.933,30.799,5.79,0.73,9,77.456,Monsoon,6.501,37.681,12,245.4,3.174,450.27,60.879
shallow_well,9.064,22.526,9.471,0.901,6,13.124,Monsoon,6.152,7.733,8,137.98,5.466,360.35,27.052
rooftop_rainwater,6.169,24.568,6.88,0.286,3,45.837,Summer,8.782,50.18,5,22.9,0.841,140.23,75.388
rooftop_rainwater,4.532,20.685,6.354,0.503,2,22.356,Winter,5.731,3.311,15,17.78,1.612,171.74,55.193
open_catchment,4.354,28.138,5.239,0.602,8,2.054,Monsoon,7.373,3.693,10,76.07,4.666,284.13,13.041
canal,10.116,30.664,7.253,0.345,11,18.995,Autumn,4.545,3.928,23,50.31,2.906,178.73,74.753
spring,13.914,31.024,6.777,0.846,4,47.767,Summer,6.696,2.575,8,134.5,2.397,350.94,24.044
river,11.348,28.404,4.994,0.698,12,14.406,Winter,8.001,9.92,4,99.52,0.575,190.92,12.814
pond,2.212,23.887,5.895,0.733,1,45.335,Winter,9.405,10.96,1,60.03,28.65,497.88,34.201
deep_borehole,6.812,25.005,4.069,0.808,8,64.095,Monsoon,7.565,21.111,9,239.34,9.877,459.34,24.537
piped_protected,15.685,24.031,5.305,0.258,1,100.88,Winter,8.632,5.097,24,144.62,6.284,392.08,54.199
spring,6.457,21.361,6.816,0.746,2,11.339,Winter,9.323,33.888,2,156.98,1.781,369.01,42.697
shallow_well,7.692,24.114,7.53,0.774,1,103.081,Winter,6.681,25.071,38,164.36,29.14,431.82,83.647
reservoir,14.746,27.726,6.514,0.842,8,33.152,Monsoon,5.809,19.396,11,86.85,2.963,180.15,43.643
rooftop_rainwater,10.825,22.399,7.707,0.489,3,6.972,Summer,7.414,55.827,3,26.92,0.447,101.77,61.28
reservoir,5.265,18.157,5.562,0.504,9,25.288,Monsoon,6.324,0.372,30,92.52,90.518,614.95,72.786
deep_borehole,22.577,21.241,7.666,0.098,11,23.965,Autumn,7.502,62.161,46,222.33,1.632,333.1,100.0
pond,1.774,27.455,6.884,0.852,12,18.877,Winter,6.258,3.739,1,98.5,17.416,223.94,21.913
river,54.073,19.845,6.691,0.533,7,9.577,Monsoon,8.219,0.596,31,35.4,18.907,115.14,52.74
open_catchment,1.265,23.584,6.995,0.594,6,40.622,Monsoon,7.25,8.336,4,51.36,44.054,446.3,31.606
pond,0.151,23.849,6.101,0.121,11,30.205,Autumn,7.171,16.231,14,63.37,22.674,252.27,39.309
deep_borehole,22.074,25.774,4.698,0.602,6,18.665,Monsoon,6.628,4.895,4,255.83,12.627,644.06,20.457
pond,2.81,25.704,5.432,0.042,10,12.579,Autumn,8.266,8.314,7,74.27,8.996,280.15,36.361
deep_borehole,13.082,26.201,4.882,0.923,1,5.465,Winter,7.314,3.784,4,175.42,2.181,284.61,4.938
deep_borehole,16.661,24.554,6.658,0.864,8,149.318,Monsoon,9.244,0.018,13,211.26,11.515,540.06,50.091
community_tank,19.589,22.166,8.024,0.194,10,24.666,Autumn,6.797,31.424,17,150.82,17.773,289.11,51.362
piped_protected,47.788,27.704,9.225,0.594,11,70.499,Autumn,8.839,6.297,14,75.19,4.157,153.09,31.792
reservoir,3.482,19.709,6.308,0.603,3,97.149,Summer,8.403,2.218,32,109.34,6.76,246.44,57.019
rooftop_rainwater,12.387,27.344,6.759,0.803,3,89.925,Summer,8.606,6.812,2,13.53,1.538,129.44,32.651
community_tank,1.226,28.432,9.824,0.757,3,62.397,Summer,5.759,0.197,9,135.5,1.785,174.22,31.761
river,5.222,32.01,6.396,0.993,11,40.062,Autumn,8.029,1.173,30,55.6,1.352,62.69,49.514
community_tank,18.837,22.737,6.06,0.351,9,6.173,Monsoon,6.415,11.412,7,140.54,3.074,289.57,21.768
canal,4.583,23.319,6.804,0.125,5,153.733,Summer,6.383,3.575,22,40.52,12.779,347.8,86.046
canal,8.943,25.16,6.363,0.573,2,10.513,Winter,10.124,14.909,1,70.4,8.811,232.32,30.391
rooftop_rainwater,7.007,24.936,5.982,0.764,4,141.4,Summer,6.295,8.428,30,22.75,2.561,76.07,77.904
pond,10.383,27.504,4.888,0.286,7,23.994,Monsoon,7.691,1.039,1,106.91,0.377,129.45,2.345
piped_protected,36.08,26.567,9.389,0.236,12,85.46,Winter,6.97,10.552,1,90.72,3.114,186.27,20.488
rooftop_rainwater,0.573,23.944,7.826,0.802,10,74.753,Autumn,9.175,14.051,5,21.59,0.695,58.43,37.152
deep_borehole,8.532,24.706,9.425,0.754,1,45.888,Winter,7.649,11.419,19,211.23,6.919,519.33,33.087
shallow_well,19.88,27.8,8.432,0.203,2,45.624,Winter,7.104,4.122,1,203.98,14.55,424.24,9.895
piped_protected,6.566,21.201,7.023,0.869,8,26.899,Monsoon,6.754,0.396,27,104.28,1.815,134.36,40.28
reservoir,0.818,24.299,4.495,0.135,8,33.574,Monsoon,9.197,7.598,3,78.15,16.214,222.71,39.136
piped_protected,8.222,26.664,5.636,0.109,3,33.332,Summer,7.819,15.08,1,86.12,3.797,266.09,19.781
deep_borehole,4.036,21.8,6.477,0.351,5,37.706,Summer,6.954,1.014,9,229.83,2.946,422.99,11.119
deep_borehole,1.683,14.377,5.554,0.887,8,28.144,Monsoon,7.102,34.864,18,287.12,6.6,624.46,56.128
open_catchment,18.907,29.34,4.271,0.695,10,8.758,Autumn,6.576,5.867,36,51.67,23.908,266.02,66.273
rooftop_rainwater,7.373,24.939,5.664,0.395,9,21.253,Monsoon,6.574,5.944,3,5.0,0.651,47.28,24.584
deep_borehole,27.072,21.227,6.709,0.157,11,48.967,Autumn,7.425,5.675,19,313.32,2.356,604.16,42.039
canal,16.4,27.761,9.385,0.713,2,28.137,Winter,7.49,32.206,2,68.73,4.948,157.66,23.416
river,11.808,24.375,5.99,0.599,10,32.401,Autumn,6.564,40.612,14,81.65,1.311,165.72,59.031
shallow_well,0.05,21.896,7.983,0.988,8,17.665,Monsoon,8.847,31.015,1,181.55,19.36,506.81,34.721
reservoir,5.583,26.109,5.535,0.766,3,56.618,Summer,7.552,21.753,5,71.25,15.149,406.74,23.455
rooftop_rainwater,2.2,25.155,6.663,0.102,9,59.578,Monsoon,8.629,4.222,17,21.54,0.334,27.23,50.588
spring,24.169,23.16,6.948,0.728,5,3.472,Summer,8.498,18.894,2,114.84,6.374,222.95,10.436
canal,1.919,22.691,9.4,0.257,5,7.052,Summer,6.466,4.828,10,94.16,1.034,210.64,19.46
pond,3.37,21.922,2.995,0.962,11,26.829,Autumn,7.546,6.617,18,63.94,12.538,178.54,33.79
deep_borehole,7.274,27.207,5.783,0.019,4,52.772,Summer,11.537,2.171,3,234.57,4.146,510.12,69.339
spring,3.057,21.255,7.37,0.238,8,43.161,Monsoon,7.485,10.498,17,144.01,2.162,268.63,24.553
deep_borehole,2.356,22.607,7.627,0.499,1,27.974,Winter,6.415,23.005,4,174.49,4.151,352.66,24.182
piped_protected,9.14,25.303,5.234,0.079,12,73.291,Winter,7.633,15.879,6,151.84,6.784,334.11,31.775
canal,0.931,29.377,6.942,0.344,6,58.494,Monsoon,5.873,6.658,14,146.17,4.662,457.0,46.791
piped_protected,0.599,25.399,7.019,0.497,7,26.382,Monsoon,6.398,15.503,18,105.91,6.888,212.12,32.542
open_catchment,4.656,26.765,9.207,0.447,8,27.946,Monsoon,7.624,14.063,4,51.86,1.608,28.05,13.23
piped_protected,12.753,25.307,7.313,0.461,4,8.954,Summer,7.722,10.892,3,84.88,6.883,280.95,10.539
open_catchment,8.092,27.719,6.787,0.879,12,35.438,Winter,7.893,4.365,9,67.15,6.869,169.42,20.171
open_catchment,5.497,30.813,5.944,0.505,9,55.986,Monsoon,6.85,0.409,9,65.37,11.446,176.13,19.074
spring,8.341,23.687,7.911,0.941,12,15.794,Winter,9.07,0.544,1,95.16,3.223,128.71,13.206
deep_borehole,4.548,25.042,6.618,0.148,3,33.334,Summer,7.073,42.432,9,292.73,7.687,707.42,58.515
pond,27.512,25.521,6.15,0.28,8,44.772,Monsoon,5.665,28.306,11,90.96,31.283,612.67,67.979
reservoir,0.565,26.589,5.53,0.657,10,76.154,Autumn,8.117,3.789,2,26.58,2.546,32.18,10.778
piped_protected,11.19,25.397,6.555,0.283,11,23.687,Autumn,7.173,3.026,17,132.63,4.252,300.11,22.548
reservoir,22.19,23.369,8.048,0.347,10,13.784,Autumn,7.694,5.057,7,65.92,2.962,248.94,14.0
canal,16.291,24.979,6.23,0.901,5,23.018,Summer,7.3,11.89,10,72.13,30.918,281.64,21.11
open_catchment,2.034,32.295,7.052,0.539,12,42.825,Winter,8.384,0.244,8,73.16,4.972,203.87,22.739
deep_borehole,3.509,25.942,6.165,0.335,5,40.53,Summer,7.319,31.179,7,187.6,4.522,435.25,33.298
